name,abb,CAS,synonyms,tags
poly(ethylene-co-methyl acrylate-co-acrylic acid),EMA-AA,41525-41-1,,"Other copolymers, Polyacrylates, Polyolefins"
poly(ethylene-co-methyl acrylate),EMA,25103-74-6,,Other copolymers
poly(ethylene-co-n-butyl acrylate),ENBA,25750-84-9,,Other copolymers
poly(ethylene-co-tetrafluoroethylene),ETFE,25038-71-5,Ethylene tetrafluoroethylene copolymers,"Halogenated, Other copolymers, Polyolefins"
"poly(ethylene 2,6-naphthalate)",PEN,24968-11-4; 25230-87-9,,"Aromatic, Polyesters"
Poly(ethylene adipate),,,,Polyesters
poly(ethylene furanoate),PEF,,,"Aromatic, Polyesters"
Poly(ethylene isophthalate),,,,Polyesters
Poly(ethylene phthalate),,,,Polyesters
Poly(ethylene sebacate),,,Poly(ethylene glycol sebacate),Polyesters
Poly(ethylene succinate),,,,Polyesters
Poly(ethylene sulfide),TR,,"Poly(thioethylene), Thiokol rubber, Thiokol®","Polyethers, Polythiols"
poly(ethylene terephthalate),PET,25038-59-9,,"Aromatic, Polyesters"
Poly(heptylethylene),,,Polyheptylethylene,Polyolefins
Poly(hexamethylene glycol),,,,Polyglycols
Poly(hexamethylene isophthalamide),PA 6I,,,"Aromatic, Polyamides"
Poly(hexamethylene teraphthalamide),PA 6T,,,"Polyamides, Polyglycols"
Poly(hexyl acrylate),,,Polyhexyl acrylate,Polyacrylates
Poly(hexyl cyanoacrylate),,,,Polycyanoacrylates
Poly(hexylethylene),,,Polyhexylethylene,Polyolefins
Poly(isobutyl acrylate),,,Polyisobutyl acrylate,Polyacrylates
Poly(isobutylethylene),"PMP, TPX",,Polyisobutylethylene,Polyolefins
Poly(isopropyl acrylate),,,,Polyacrylates
Poly(isopropyl methacrylate),,,,Polymethacrylates
Poly(isopropylethylene),,,Poly(isopentene),Polyolefins
poly(L-serine),PLS,25821-52-7,,"Polyamides, Protein based or Polypeptides"
poly(lactic acid),PLA,"51063-13-9, 26680-10-4, 34346-01-5",Polylactide,Polyesters
poly(m-phenylene isophthalamide),PPTI,25765-47-3,,"Aromatic, Polyamides"
Poly(m-phenylene terephthalamide),MPDI,,"Nomex,, Teijinconex","Aromatic, Polyamides"
Poly(methacrylimide),PMI,,Polymethacrylimide,"Polyacrylonitriles, Polymethacrylates"
Poly(methacrylonitrile),,,,Polyacrylonitriles
poly(methyl-5-oxanorbomene-2-carboxylate),,,,Others
poly(methyl acrylate),PMA,9003-21-8,,Polyacrylates
poly(methyl methacrylate-co-acrylonitrile-co-butadiene-co-styrene),MABS,9010-94-0,,"Other copolymers, Polyacrylonitriles, Polydienes & polydiene copolymers, Polymethacrylates, Polystyrenes"
Poly(methylene oxide-co-ethylene oxide),,,,"Other copolymers, Polyglycols"
Poly(methylene oxide-co-tetramethylene oxide),,,,"Other copolymers, Polyglycols"
Poly(N-acetylmethacrylamide),,,,"Polyacrylamides, Polymethacrylates"
Poly(N-benzyl methacrylamide),,,,"Polyacrylamides, Polymethacrylates"
Poly(n-decyl methacrylate),,,,Polymethacrylates
Poly(N-octyl acrylamide),,,,Polyacrylamides
Poly(n-octyl acrylate),,,,Polyacrylates
Poly(N-phenylacrylamide),,,,"Aromatic, Polyacrylamides"
Poly(N-sec-butylacrylamide),,,,Polyacrylamides
Poly(N-tert-butyl acrylamide),,,Poly[N-(2-methyl-2-propanyl)acrylamide],Polyacrylamides
Poly(N-tert-butylmethacrylamide),,,,"Polyacrylamides, Polymethacrylates"
poly(N-vinyl carbazole),PVK,25067-59-8,,Polyolefins
Poly(nonamethylene teraphthalamide),PA 9T,,,"Aromatic, Polyamides"
poly(O-benzyl-L-tyrosine),,,,"Aromatic, Polyamides, Protein based or Polypeptides"
Poly(octadecyl methacrylate),,,Poly(stearyl methacrylate),Polymethacrylates
Poly(octyl cyanoacrylate),,,,"Polyacrylates, Polycyanoacrylates"
Poly(octyl methacrylate),,,,Polymethacrylates
Poly(octylethylene),,,Polyoctylethylene,Polyolefins
poly(p-benzamide),PBA,24991-08-0; 55738-52-8,,"Aromatic, Polyamides"
poly(p-methylstyrene),PMS,24936-41-2,,"Aromatic, Polystyrenes"
poly(p-phenylene sulfide),PPS,25212-74-2;  26125-40-6,Polyphneylene sulphide,"Aromatic, Polythiols"
poly(p-phenylene terephthalamide),PPTA,24938-64-5; 26125-61-1,"Poly-paraphenylene terephthalamide, benzene-1,4-diamine;terephthalic acid, p-Phenylenediamine-terephthalic acid copolymer, Kevlar","Aromatic, Polyamides"
Poly(p-tetramethylenedibenzoic anhydride),,,"Poly(4,4'-tetramethylenedibenzoic anhydride)","Aromatic, Polyanhydrides"
Poly(pentylethylene),,,,Polyolefins
Poly(phenyl methacrylate),,,,"Aromatic, Polymethacrylates"
Poly(phenylene ether) polystyrene blend,MPPE,,,"Aromatic, Polyethers, Polyphenylenes, Polystyrenes"
poly(phenylene oxide),PPO,9041-80-9,"Polyphenylene ether, PPE","Aromatic, Polyethers, Polyphenylenes"
poly(phenylene sulfone),PPSU,31833-61-1; 877322-41-3,"PSU, polyphenylene sulfone","Aromatic, Polysulphones"
Poly(Phenylene Vinylene)s,,,Poly(P-Phenylene Vinylene)s,"Aromatic, Polyphenylenes"
Poly(phenylsulfone),"PPSU, PPSF",,"Poly(1,4-biphenyl ether ether sulfone), Polyphenylsulfone","Aromatic, Polyethers, Polysulphones"
Poly(propyl acrylate),,,Polypropyl acrylate,Polyacrylates
Poly(propyleneketone),PPK,,"Carilon®, Poketone™, Akrotek® PK",Polyketones
Poly(propylethylene),,,,Polyolefins
Poly(sec-butyl acrylate),,,,Polyacrylates
Poly(sec-butyl methacrylate),PsBMA,,,Polymethacrylates
poly(styrene-co-acrylonitrile),SAN,9003-54-7,"Styrene acrylonitrile copolymer, Styrene-acrylonitrile resin, Styrene-acrylonitrile copolymers","Aromatic, Other copolymers, Polyacrylates, Polyacrylonitriles, Polystyrenes"
poly(styrene-co-butadiene-co-methyl methacrylate),MBS,25053-09-2,Methyl methacrylate butadiene styrene copolymer blend,"Other copolymers, Polymethacrylates, Polystyrenes"
poly(styrene-co-butadiene),SBR,9003-55-8,"GR-S rubber, Styrene-butadiene, styrene butadiene rubber","Aromatic, Other copolymers, Polyolefins, Polystyrenes"
poly(styrene-co-methylmethacrylate),SMAA,25034-86-0,,"Aromatic, Other copolymers, Polymethacrylates, Polystyrenes"
poly(styrene-co-α-methylstyrene),PSMS,9011-11-4,,"Aromatic, Other copolymers, Polystyrenes"
Poly(terephthalate),PTP,,Polyterephthalate,"Aromatic, Polyesters"
Poly(tert-butyl acrylate),,25232-27-3,Polytert-butyl acrylate,Polyacrylates
Poly(tert-butyl methacrylate),,,,Polymethacrylates
Poly(tert-butylethylene),,,Polytert-butylethylene,Polyolefins
"poly(tetrafluoroethylene-co-2,2-bis(trifluoromethyl)-4,5-difluoro-1,3-dioxole)",PTFE-AF,37626-13-4; 187475-17-8,Teflon AF,"Halogenated, Other copolymers, Polyolefins"
Poly(tetramethyl Bisphenol A carbonate),TMPC,,,"Aromatic, Polycarbonates"
poly(tetramethylene glycol),PTMG,25190-06-1,,Polyglycols
Poly(tetramethylene isophthalate),,,"Poly(1,4-butylene isophthalate)","Aromatic, Polyesters"
Poly(Thioether Ketone and Sulfone)s,,,,"Polyethers, Polysulphones"
Poly(trimethylene glycol),,,,Polyglycols
poly(trimethylene terephthalate),PTT,26546-03-2; 26590-75-0; 36619-23-5,,"Aromatic, Polyesters"
poly(trimethylsilyl phosphate),PPSE,,,Polysilanes
Poly(vinyl bromide),,,Polyvinyl bromide,"Halogenated, Polyolefins"
poly(vinyl butyrate),PVB,63148-65-2; 24991-31-9,Polyvinyl butyral,"Polyvinyl ethers, -esters  & derivatives"
poly(vinyl chloride-co-vinyl acetate),PVCA,9003-22-9; 9003-20-7,polyvinyl chloride-co-vinyl acetate,"Halogenated, Other copolymers, Polyolefins, Polyvinyl ethers, -esters  & derivatives"
poly(vinyl chloride),PVC,9002-86-2,,"Halogenated, Polyolefins"
"poly(vinyl chloride), chlorinated",CPVC,68648-82-8,PVCC,"Halogenated, Polyolefins"
poly(vinyl fluoride),PVF,24981-14-4,polyvinyl fluoride,"Halogenated, Polyolefins"
Poly(vinyl Ketal)s,,,,"Polyvinyl ethers, -esters  & derivatives"
poly(vinylidene chloride),PVDC,9002-85-1,Polyvinylidene chloride,"Halogenated, Polyolefins"
poly(vinylidene fluoride-co-hexafluoropropylene),PVDF-HFP,9011-17-0,polyvinylidene fluoride-co-hexafluoropropylene,"Halogenated, Other copolymers, Polyolefins"
"poly(α-methyl, α-ethyl-β-propiolactone)",,,,Polyesters
Poly(α-methylstyrene),"PAMS, PαMS",,,"Aromatic, Polystyrenes"
"Poly[1,1-bis(chloromethyl)trimethylene oxide]",,,,"Halogenated, Polyglycols"
Poly[di(n-butyl) itaconate],,,,Polyitaconate
Poly[di(n-hexyl) itaconate],,,,Polyitaconate
Poly[di(n-propyl) itaconate],,,,Polyitaconate
"Poly[N,N'-(Sulfo-P-Phenylene) Terephthalamide]",,,,"Aromatic, Polyamides"
Poly[oxy(hexyloxymethyl)ethylene],,,,"Polyvinyl ethers, -esters  & derivatives"
polyacrylamide,PAAm,9003-05-8,,Polyacrylamides
polyacrylonitrile,PAN,25014-41-9; 63908-52-1,,Polyacrylonitriles
Polyalkanoates,,,,Polyesters
polyamide-11,PA-11,25035-04-5,"Poly(imino-1-oxoundecamethylene) OR Poly[imino(1-oxoundecane-1,11-diyl)] OR Rislan B",Polyamides
polyamide-12,PA-12,24937-16-4,"Poly(dodecano-12-lactam), Grilamid",Polyamides
polyamide-3,PA-3,24937-14-2,PA3,Polyamides
"polyamide-4,10","PA-4,10",26247-06-3,,Polyamides
"polyamide-4,6","PA-4,6",50327-22-5,"Poly[imino(1,6-dioxohexamethylene) iminotetramethylene], Nylon 4,6",Polyamides
polyamide-6,PA-6,25038-54-4,"Poly(azepan-2-one), poly(hexano-6-lactam), Minlon, Durethan",Polyamides
"polyamide-6,10","PA-6,10",9008-66-6,"Poly(iminosebacoyliminohexane-1,6-diyl), Poly(iminohexamethyleneiminosebacoyl)], Ultramid S, Zytel",Polyamides
"polyamide-6,12","PA-6,12",24936-74-1,"Poly(iminododecanedioyliminohexane-1,6-diyl), Poly(iminohexamethyleneiminododecanedioyl), Vestamid, Zytel",Polyamides
"polyamide-6,6","PA-6,6",32131-17-2,"Nylon 66, Poly[imino(1,6-dioxohexamethylene) iminohexamethylene], Poly(azanediyladipoylazanediylhexane-1,6-diyl), Poly(hexamethylene adipamide)",Polyamides
"polyamide-6,66","PA-6,66",24993-04-2,,Polyamides
polyamide-6I/6T,PA-6I/6T,25750-23-6,"Polyphthalamide terephtalic acid/hexamethylendiamine and isophtalic acid/hexamethylenediamine copolymer, PA6T/6I, copolymer of 1,6-hexamethylene diamine and isophthalic acid (6I) (70 wt %) and terephthalic acid (6T) (30 wt %)",Polyamides
"polyamide 6T/""DT""",PA-6T/DT,,Polyphthalamide terephtalic acid/methylpentanediamine (DT) repeat unit,Polyamides
polyamide 6T/66,PA-6T/66,,terephthalaic acid/hexamethylenediamine (6T) repeat unit,Polyamides
